********************************************************************************
Log File of Assignment21_3
this log is created at : Fri Jun 20 23:27:31 2025
********************************************************************************
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 4984, 'name': 'svchost.exe', 'username': None}
{'pid': 5084, 'name': 'svchost.exe', 'username': None}
{'pid': 5332, 'name': 'wlanext.exe', 'username': None}
{'pid': 5348, 'name': 'fcmcomm.exe', 'username': None}
{'pid': 5392, 'name': 'Code.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 5396, 'name': 'svchost.exe', 'username': None}
{'pid': 5420, 'name': 'svchost.exe', 'username': None}
{'pid': 5592, 'name': 'SecurityHealthService.exe', 'username': None}
{'pid': 5604, 'name': 'svchost.exe', 'username': None}
{'pid': 5644, 'name': 'SearchIndexer.exe', 'username': None}
{'pid': 5652, 'name': 'fcmcomm.exe', 'username': None}
{'pid': 5696, 'name': 'svchost.exe', 'username': None}
{'pid': 5876, 'name': 'igfxTray.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 6092, 'name': 'RAVBg64.exe', 'username': None}
{'pid': 6296, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 6596, 'name': 'svchost.exe', 'username': None}
{'pid': 6700, 'name': 'powershell.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 6780, 'name': 'spsvc.exe', 'username': None}
{'pid': 6824, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 6836, 'name': 'dllhost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 6860, 'name': 'svchost.exe', 'username': None}
{'pid': 6924, 'name': 'svchost.exe', 'username': None}
{'pid': 6940, 'name': 'conhost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 6952, 'name': 'conhost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 7004, 'name': 'conhost.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 7112, 'name': 'svchost.exe', 'username': None}
{'pid': 7256, 'name': 'taskhostw.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 7260, 'name': 'CalculatorApp.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 7316, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
{'pid': 7324, 'name': 'chrome.exe', 'username': 'DESKTOP-Q456CUL\\Admin'}
